选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
A1,J1,8,16.5,53,7,3,0
A1,J2,7,19,52,7,4,0
A2,J1,9.5,16.3,55.2,8.5,4,0
A2,J2,6,19,53,10,4,0
A4,J1,8.5,17,55,7,3.5,0
A4,J2,7,18,50,6.5,4,0
B1,J1,8.8,15.8,54.8,8.8,4.5,0
B1,J2,7.5,14.5,54.5,9.8,3,0
B4,J1,9.8,14.1,51.3,7,4,0
B4,J2,9.2,16,54.8,7.2,4,0
C1,J1,9.5,17,56,7.5,5,0
C1,J2,9.4,18,55.5,7.3,5,0
C3,J1,6.5,14,49,5,2,0
C3,J2,7.4,16,48,5,3,0
C4,J1,8.5,17.5,52,7,4,0
C4,J2,8.8,16.3,52.5,6.5,4,0
D1,J3,10,17,56,9,5,0
D1,J2,9.5,18,57.4,7.5,5,0
D2,J3,7,16,51,5.5,3.5,0
D2,J2,8,15.5,50,5,4,0
D3,J3,6.5,14.5,50,8,3.5,0
D3,J2,6,14,47,7,4,0
D4,J3,7,17,56,8,4.5,0
D4,J2,7.4,17,55.3,7,5,0
